"COVID-19-Associated Hospitalization Rates (per 100,000 population) for the COVID-NET Network (downloaded on "Aug-09-2020)
Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Entire Network,EIP,2020,2020,29,18-29 yr,55.2,4.6
Georgia,EIP,2020,2020,29,18-29 yr,83,11.8
Entire Network,IHSP,2020,2020,29,18-29 yr,27.1,2.8
Iowa,IHSP,2020,2020,29,18-29 yr,88.4,0
Maryland,EIP,2020,2020,29,18-29 yr,81.7,4.7
Michigan,IHSP,2020,2020,29,18-29 yr,13.5,0.4
New Mexico,EIP,2020,2020,29,18-29 yr,25.7,2.8
Minnesota,EIP,2020,2020,29,18-29 yr,54.1,3.2
New York,EIP,2020,2020,29,18-29 yr,18.3,1.1
Colorado,EIP,2020,2020,29,18-29 yr,60.1,3.6
California,EIP,2020,2020,29,18-29 yr,36.6,3.9
Utah,IHSP,2020,2020,30,18-29 yr,45,3.3
Tennessee,EIP,2020,2020,30,18-29 yr,46,3.6
Oregon,EIP,2020,2020,30,18-29 yr,18.9,2.1
Ohio,IHSP,2020,2020,30,18-29 yr,25.2,1.4
New York,EIP,2020,2020,30,18-29 yr,18.6,0.3
New Mexico,EIP,2020,2020,30,18-29 yr,28.9,3.3
Minnesota,EIP,2020,2020,30,18-29 yr,54.5,0.4
Michigan,IHSP,2020,2020,30,18-29 yr,14.3,0.8
Maryland,EIP,2020,2020,30,18-29 yr,85.4,3.6
Entire Network,IHSP,2020,2020,30,18-29 yr,28.7,1.6
Iowa,IHSP,2020,2020,30,18-29 yr,88.4,0
Georgia,EIP,2020,2020,30,18-29 yr,90,7
Entire Network,EIP,2020,2020,30,18-29 yr,58.3,3.1
Connecticut,EIP,2020,2020,30,18-29 yr,52.5,1.8
Entire Network,COVID-NET,2020,2020,30,18-29 yr,53.6,2.9
Colorado,EIP,2020,2020,30,18-29 yr,62.7,2.6
California,EIP,2020,2020,30,18-29 yr,39.4,2.9
Utah,IHSP,2020,2020,31,18-29 yr,50.2,5.2
Iowa,IHSP,2020,2020,31,18-29 yr,88.4,0
Georgia,EIP,2020,2020,31,18-29 yr,92.6,2.7
Entire Network,IHSP,2020,2020,31,18-29 yr,30.4,1.7
Maryland,EIP,2020,2020,31,18-29 yr,89.7,4.4
Minnesota,EIP,2020,2020,31,18-29 yr,54.9,0.4
Michigan,IHSP,2020,2020,31,18-29 yr,15.4,1.1
New Mexico,EIP,2020,2020,31,18-29 yr,30.3,1.4
New York,EIP,2020,2020,31,18-29 yr,18.9,0.3
Oregon,EIP,2020,2020,31,18-29 yr,19.6,0.7
Ohio,IHSP,2020,2020,31,18-29 yr,25.4,0.3
Tennessee,EIP,2020,2020,31,18-29 yr,51.9,5.9
California,EIP,2020,2020,31,18-29 yr,41.3,1.8
Entire Network,COVID-NET,2020,2020,31,18-29 yr,55.9,2.3
Colorado,EIP,2020,2020,31,18-29 yr,65.2,2.6
Connecticut,EIP,2020,2020,31,18-29 yr,54.4,1.8
Entire Network,EIP,2020,2020,31,18-29 yr,60.8,2.5
Ohio,IHSP,2020,2020,32,18-29 yr,null,null
New York,EIP,2020,2020,32,18-29 yr,null,null
New Mexico,EIP,2020,2020,32,18-29 yr,null,null
Minnesota,EIP,2020,2020,32,18-29 yr,null,null
Michigan,IHSP,2020,2020,32,18-29 yr,null,null
Maryland,EIP,2020,2020,32,18-29 yr,null,null
Entire Network,IHSP,2020,2020,32,18-29 yr,null,null
Iowa,IHSP,2020,2020,32,18-29 yr,null,null
Georgia,EIP,2020,2020,32,18-29 yr,null,null
Entire Network,EIP,2020,2020,32,18-29 yr,null,null
Connecticut,EIP,2020,2020,32,18-29 yr,null,null
Entire Network,COVID-NET,2020,2020,32,18-29 yr,null,null
Colorado,EIP,2020,2020,32,18-29 yr,null,null
California,EIP,2020,2020,32,18-29 yr,null,null
Tennessee,EIP,2020,2020,32,18-29 yr,null,null
Oregon,EIP,2020,2020,32,18-29 yr,null,null
Utah,IHSP,2020,2020,32,18-29 yr,null,null
Utah,IHSP,2020,2020,33,18-29 yr,null,null
Oregon,EIP,2020,2020,33,18-29 yr,null,null
Tennessee,EIP,2020,2020,33,18-29 yr,null,null
Michigan,IHSP,2020,2020,33,18-29 yr,null,null
Maryland,EIP,2020,2020,33,18-29 yr,null,null
Minnesota,EIP,2020,2020,33,18-29 yr,null,null
New Mexico,EIP,2020,2020,33,18-29 yr,null,null
Ohio,IHSP,2020,2020,33,18-29 yr,null,null
New York,EIP,2020,2020,33,18-29 yr,null,null
Connecticut,EIP,2020,2020,33,18-29 yr,null,null
Georgia,EIP,2020,2020,33,18-29 yr,null,null
Entire Network,EIP,2020,2020,33,18-29 yr,null,null
Iowa,IHSP,2020,2020,33,18-29 yr,null,null
Entire Network,IHSP,2020,2020,33,18-29 yr,null,null
Colorado,EIP,2020,2020,33,18-29 yr,null,null
California,EIP,2020,2020,33,18-29 yr,null,null
Entire Network,COVID-NET,2020,2020,33,18-29 yr,null,null
Utah,IHSP,2020,2020,34,18-29 yr,null,null
Tennessee,EIP,2020,2020,34,18-29 yr,null,null
Oregon,EIP,2020,2020,34,18-29 yr,null,null
Ohio,IHSP,2020,2020,34,18-29 yr,null,null
New York,EIP,2020,2020,34,18-29 yr,null,null
New Mexico,EIP,2020,2020,34,18-29 yr,null,null
Minnesota,EIP,2020,2020,34,18-29 yr,null,null
Michigan,IHSP,2020,2020,34,18-29 yr,null,null
Maryland,EIP,2020,2020,34,18-29 yr,null,null
Entire Network,IHSP,2020,2020,34,18-29 yr,null,null
Iowa,IHSP,2020,2020,34,18-29 yr,null,null
Georgia,EIP,2020,2020,34,18-29 yr,null,null
Entire Network,EIP,2020,2020,34,18-29 yr,null,null
Connecticut,EIP,2020,2020,34,18-29 yr,null,null
Entire Network,COVID-NET,2020,2020,34,18-29 yr,null,null
Colorado,EIP,2020,2020,34,18-29 yr,null,null
California,EIP,2020,2020,34,18-29 yr,null,null
New York,EIP,2020,2020,35,18-29 yr,null,null
New Mexico,EIP,2020,2020,35,18-29 yr,null,null
Ohio,IHSP,2020,2020,35,18-29 yr,null,null
Oregon,EIP,2020,2020,35,18-29 yr,null,null
Utah,IHSP,2020,2020,35,18-29 yr,null,null
Tennessee,EIP,2020,2020,35,18-29 yr,null,null
Colorado,EIP,2020,2020,35,18-29 yr,null,null
Entire Network,COVID-NET,2020,2020,35,18-29 yr,null,null
Entire Network,EIP,2020,2020,35,18-29 yr,null,null
Connecticut,EIP,2020,2020,35,18-29 yr,null,null
Georgia,EIP,2020,2020,35,18-29 yr,null,null
Iowa,IHSP,2020,2020,35,18-29 yr,null,null
Maryland,EIP,2020,2020,35,18-29 yr,null,null
Entire Network,IHSP,2020,2020,35,18-29 yr,null,null
Michigan,IHSP,2020,2020,35,18-29 yr,null,null
Minnesota,EIP,2020,2020,35,18-29 yr,null,null
California,EIP,2020,2020,35,18-29 yr,null,null
Utah,IHSP,2020,2020,36,18-29 yr,null,null
Tennessee,EIP,2020,2020,36,18-29 yr,null,null
Oregon,EIP,2020,2020,36,18-29 yr,null,null
Ohio,IHSP,2020,2020,36,18-29 yr,null,null
New York,EIP,2020,2020,36,18-29 yr,null,null
New Mexico,EIP,2020,2020,36,18-29 yr,null,null
Minnesota,EIP,2020,2020,36,18-29 yr,null,null
Michigan,IHSP,2020,2020,36,18-29 yr,null,null
Maryland,EIP,2020,2020,36,18-29 yr,null,null
Entire Network,IHSP,2020,2020,36,18-29 yr,null,null
Iowa,IHSP,2020,2020,36,18-29 yr,null,null
Georgia,EIP,2020,2020,36,18-29 yr,null,null
Entire Network,EIP,2020,2020,36,18-29 yr,null,null
Connecticut,EIP,2020,2020,36,18-29 yr,null,null
Entire Network,COVID-NET,2020,2020,36,18-29 yr,null,null
Colorado,EIP,2020,2020,36,18-29 yr,null,null
California,EIP,2020,2020,36,18-29 yr,null,null
Tennessee,EIP,2020,2020,37,18-29 yr,null,null
Oregon,EIP,2020,2020,37,18-29 yr,null,null
Utah,IHSP,2020,2020,37,18-29 yr,null,null
Entire Network,EIP,2020,2020,37,18-29 yr,null,null
Georgia,EIP,2020,2020,37,18-29 yr,null,null
Entire Network,IHSP,2020,2020,37,18-29 yr,null,null
Iowa,IHSP,2020,2020,37,18-29 yr,null,null
Maryland,EIP,2020,2020,37,18-29 yr,null,null
Michigan,IHSP,2020,2020,37,18-29 yr,null,null
New Mexico,EIP,2020,2020,37,18-29 yr,null,null
Minnesota,EIP,2020,2020,37,18-29 yr,null,null
New York,EIP,2020,2020,37,18-29 yr,null,null
Ohio,IHSP,2020,2020,37,18-29 yr,null,null
Colorado,EIP,2020,2020,37,18-29 yr,null,null
Connecticut,EIP,2020,2020,37,18-29 yr,null,null
Entire Network,COVID-NET,2020,2020,37,18-29 yr,null,null
California,EIP,2020,2020,37,18-29 yr,null,null
Tennessee,EIP,2020,2020,38,18-29 yr,null,null
Oregon,EIP,2020,2020,38,18-29 yr,null,null
Ohio,IHSP,2020,2020,38,18-29 yr,null,null
New York,EIP,2020,2020,38,18-29 yr,null,null
New Mexico,EIP,2020,2020,38,18-29 yr,null,null
Minnesota,EIP,2020,2020,38,18-29 yr,null,null
Michigan,IHSP,2020,2020,38,18-29 yr,null,null
Maryland,EIP,2020,2020,38,18-29 yr,null,null
Entire Network,IHSP,2020,2020,38,18-29 yr,null,null
Iowa,IHSP,2020,2020,38,18-29 yr,null,null
Georgia,EIP,2020,2020,38,18-29 yr,null,null
Entire Network,EIP,2020,2020,38,18-29 yr,null,null
Connecticut,EIP,2020,2020,38,18-29 yr,null,null
Entire Network,COVID-NET,2020,2020,38,18-29 yr,null,null
Colorado,EIP,2020,2020,38,18-29 yr,null,null
California,EIP,2020,2020,38,18-29 yr,null,null
Utah,IHSP,2020,2020,38,18-29 yr,null,null
Utah,IHSP,2020,2020,39,18-29 yr,null,null
Tennessee,EIP,2020,2020,39,18-29 yr,null,null
New York,EIP,2020,2020,39,18-29 yr,null,null
Oregon,EIP,2020,2020,39,18-29 yr,null,null
Ohio,IHSP,2020,2020,39,18-29 yr,null,null
Entire Network,IHSP,2020,2020,39,18-29 yr,null,null
Maryland,EIP,2020,2020,39,18-29 yr,null,null
Minnesota,EIP,2020,2020,39,18-29 yr,null,null
Michigan,IHSP,2020,2020,39,18-29 yr,null,null
New Mexico,EIP,2020,2020,39,18-29 yr,null,null
Entire Network,COVID-NET,2020,2020,39,18-29 yr,null,null
Colorado,EIP,2020,2020,39,18-29 yr,null,null
Connecticut,EIP,2020,2020,39,18-29 yr,null,null
Entire Network,EIP,2020,2020,39,18-29 yr,null,null
Iowa,IHSP,2020,2020,39,18-29 yr,null,null
Georgia,EIP,2020,2020,39,18-29 yr,null,null
California,EIP,2020,2020,39,18-29 yr,null,null
Tennessee,EIP,2020,2020,10,30-39 yr,0,0
Utah,IHSP,2020,2020,10,30-39 yr,0,0
California,EIP,2020,2020,10,30-39 yr,0.2,0.2
Colorado,EIP,2020,2020,10,30-39 yr,0.4,0.4
Entire Network,COVID-NET,2020,2020,10,30-39 yr,0.1,0.1
Connecticut,EIP,2020,2020,10,30-39 yr,0,0
Entire Network,EIP,2020,2020,10,30-39 yr,0.1,0.1
Georgia,EIP,2020,2020,10,30-39 yr,0.2,0.2
Iowa,IHSP,2020,2020,10,30-39 yr,0,0
Entire Network,IHSP,2020,2020,10,30-39 yr,0,0
Maryland,EIP,2020,2020,10,30-39 yr,0,0
Michigan,IHSP,2020,2020,10,30-39 yr,0,0
Minnesota,EIP,2020,2020,10,30-39 yr,0,0
New Mexico,EIP,2020,2020,10,30-39 yr,0,0
New York,EIP,2020,2020,10,30-39 yr,0.4,0.4
Ohio,IHSP,2020,2020,10,30-39 yr,0,0
Oregon,EIP,2020,2020,10,30-39 yr,0,0
Tennessee,EIP,2020,2020,11,30-39 yr,0,0
Utah,IHSP,2020,2020,11,30-39 yr,0.5,0.5
Oregon,EIP,2020,2020,11,30-39 yr,0.3,0.3
Ohio,IHSP,2020,2020,11,30-39 yr,0.3,0.3
New Mexico,EIP,2020,2020,11,30-39 yr,0,0
New York,EIP,2020,2020,11,30-39 yr,0.7,0.4
Minnesota,EIP,2020,2020,11,30-39 yr,0.2,0.2
Michigan,IHSP,2020,2020,11,30-39 yr,0,0
Entire Network,IHSP,2020,2020,11,30-39 yr,0.3,0.3
Maryland,EIP,2020,2020,11,30-39 yr,0.2,0.2
California,EIP,2020,2020,11,30-39 yr,0.5,0.3
Colorado,EIP,2020,2020,11,30-39 yr,0.6,0.2
Iowa,IHSP,2020,2020,11,30-39 yr,0,0
Georgia,EIP,2020,2020,11,30-39 yr,1.5,1.3
Connecticut,EIP,2020,2020,11,30-39 yr,0.8,0.8
Entire Network,EIP,2020,2020,11,30-39 yr,0.5,0.4
Entire Network,COVID-NET,2020,2020,11,30-39 yr,0.5,0.4
Tennessee,EIP,2020,2020,12,30-39 yr,1.9,1.9
Utah,IHSP,2020,2020,12,30-39 yr,0.5,0
New Mexico,EIP,2020,2020,12,30-39 yr,0,0
New York,EIP,2020,2020,12,30-39 yr,1.1,0.4
Ohio,IHSP,2020,2020,12,30-39 yr,0.6,0.3
Oregon,EIP,2020,2020,12,30-39 yr,0.7,0.3
California,EIP,2020,2020,12,30-39 yr,1.3,0.8
Colorado,EIP,2020,2020,12,30-39 yr,3,2.3
Entire Network,COVID-NET,2020,2020,12,30-39 yr,2.4,1.9
Connecticut,EIP,2020,2020,12,30-39 yr,4.7,3.9
Entire Network,EIP,2020,2020,12,30-39 yr,2.7,2.1
Georgia,EIP,2020,2020,12,30-39 yr,8.2,6.7
Iowa,IHSP,2020,2020,12,30-39 yr,0,0
Entire Network,IHSP,2020,2020,12,30-39 yr,0.6,0.3
Maryland,EIP,2020,2020,12,30-39 yr,2.3,2.1
Michigan,IHSP,2020,2020,12,30-39 yr,0.7,0.7
Minnesota,EIP,2020,2020,12,30-39 yr,0.6,0.4
Utah,IHSP,2020,2020,13,30-39 yr,1.1,0.5
Oregon,EIP,2020,2020,13,30-39 yr,2,1.3
Tennessee,EIP,2020,2020,13,30-39 yr,4.9,3
Ohio,IHSP,2020,2020,13,30-39 yr,1.6,0.9
New York,EIP,2020,2020,13,30-39 yr,3.3,2.2
Minnesota,EIP,2020,2020,13,30-39 yr,1.3,0.6
New Mexico,EIP,2020,2020,13,30-39 yr,1.2,1.2
California,EIP,2020,2020,13,30-39 yr,3.2,1.9
Colorado,EIP,2020,2020,13,30-39 yr,11.8,8.9
Entire Network,EIP,2020,2020,13,30-39 yr,7.1,4.4
Entire Network,COVID-NET,2020,2020,13,30-39 yr,6.5,4.1
Connecticut,EIP,2020,2020,13,30-39 yr,14,9.4
Michigan,IHSP,2020,2020,13,30-39 yr,8.5,7.9
Maryland,EIP,2020,2020,13,30-39 yr,8,5.7
Iowa,IHSP,2020,2020,13,30-39 yr,0,0
Entire Network,IHSP,2020,2020,13,30-39 yr,3,2.4
Georgia,EIP,2020,2020,13,30-39 yr,16,7.7
California,EIP,2020,2020,14,30-39 yr,5,1.8
Colorado,EIP,2020,2020,14,30-39 yr,21.1,9.3
Entire Network,COVID-NET,2020,2020,14,30-39 yr,11.3,4.7
Connecticut,EIP,2020,2020,14,30-39 yr,35.1,21
Entire Network,EIP,2020,2020,14,30-39 yr,12.1,5
Georgia,EIP,2020,2020,14,30-39 yr,21.7,5.8
Utah,IHSP,2020,2020,14,30-39 yr,1.6,0.5
Oregon,EIP,2020,2020,14,30-39 yr,3.3,1.3
Tennessee,EIP,2020,2020,14,30-39 yr,8,3
Iowa,IHSP,2020,2020,14,30-39 yr,0,0
Entire Network,IHSP,2020,2020,14,30-39 yr,6,3
Maryland,EIP,2020,2020,14,30-39 yr,14.5,6.5
Michigan,IHSP,2020,2020,14,30-39 yr,16.4,7.9
Minnesota,EIP,2020,2020,14,30-39 yr,2.8,1.5
New Mexico,EIP,2020,2020,14,30-39 yr,3.5,2.3
New York,EIP,2020,2020,14,30-39 yr,8.5,5.1
Ohio,IHSP,2020,2020,14,30-39 yr,3.8,2.2
Utah,IHSP,2020,2020,15,30-39 yr,3.8,2.2
Tennessee,EIP,2020,2020,15,30-39 yr,11,3
Ohio,IHSP,2020,2020,15,30-39 yr,5.1,1.3
Oregon,EIP,2020,2020,15,30-39 yr,5,1.7
New York,EIP,2020,2020,15,30-39 yr,10.3,1.8
New Mexico,EIP,2020,2020,15,30-39 yr,4.7,1.2
Michigan,IHSP,2020,2020,15,30-39 yr,21.6,5.2
Minnesota,EIP,2020,2020,15,30-39 yr,4.5,1.7
Maryland,EIP,2020,2020,15,30-39 yr,22.5,8
Entire Network,IHSP,2020,2020,15,30-39 yr,8.4,2.4
Georgia,EIP,2020,2020,15,30-39 yr,25,3.3
Iowa,IHSP,2020,2020,15,30-39 yr,0,0
Entire Network,EIP,2020,2020,15,30-39 yr,16.3,4.1
Connecticut,EIP,2020,2020,15,30-39 yr,46.8,11.7
Colorado,EIP,2020,2020,15,30-39 yr,27.8,6.7
Entire Network,COVID-NET,2020,2020,15,30-39 yr,15.2,3.9
California,EIP,2020,2020,15,30-39 yr,6.6,1.6
Utah,IHSP,2020,2020,16,30-39 yr,7.7,3.8
Oregon,EIP,2020,2020,16,30-39 yr,5.6,0.7
Tennessee,EIP,2020,2020,16,30-39 yr,14.4,3.4
Minnesota,EIP,2020,2020,16,30-39 yr,6.9,2.4
New Mexico,EIP,2020,2020,16,30-39 yr,7.6,2.9
New York,EIP,2020,2020,16,30-39 yr,11.4,1.1
Ohio,IHSP,2020,2020,16,30-39 yr,6.3,1.3
Entire Network,COVID-NET,2020,2020,16,30-39 yr,20,4.8
Connecticut,EIP,2020,2020,16,30-39 yr,63.1,16.4
Entire Network,EIP,2020,2020,16,30-39 yr,21.4,5.2
Georgia,EIP,2020,2020,16,30-39 yr,28.9,3.9
Iowa,IHSP,2020,2020,16,30-39 yr,31.7,31.7
Entire Network,IHSP,2020,2020,16,30-39 yr,10.9,2.5
Maryland,EIP,2020,2020,16,30-39 yr,33.8,11.4
Michigan,IHSP,2020,2020,16,30-39 yr,22.3,0.7
California,EIP,2020,2020,16,30-39 yr,7.9,1.3
Colorado,EIP,2020,2020,16,30-39 yr,35.4,7.6
Utah,IHSP,2020,2020,17,30-39 yr,12.1,4.4
Entire Network,EIP,2020,2020,17,30-39 yr,27.6,6.2
Georgia,EIP,2020,2020,17,30-39 yr,31.2,2.3
Connecticut,EIP,2020,2020,17,30-39 yr,74.8,11.7
Entire Network,COVID-NET,2020,2020,17,30-39 yr,25.8,5.8
California,EIP,2020,2020,17,30-39 yr,9,1.1
Colorado,EIP,2020,2020,17,30-39 yr,46,10.5
Tennessee,EIP,2020,2020,17,30-39 yr,17.5,3
Oregon,EIP,2020,2020,17,30-39 yr,6,0.3
New York,EIP,2020,2020,17,30-39 yr,11.8,0.4
Ohio,IHSP,2020,2020,17,30-39 yr,7.9,1.6
New Mexico,EIP,2020,2020,17,30-39 yr,11.7,4.1
Minnesota,EIP,2020,2020,17,30-39 yr,11.4,4.5
Maryland,EIP,2020,2020,17,30-39 yr,49.8,15.9
Michigan,IHSP,2020,2020,17,30-39 yr,24.9,2.6
Entire Network,IHSP,2020,2020,17,30-39 yr,14.4,3.4
Iowa,IHSP,2020,2020,17,30-39 yr,69.6,38
Ohio,IHSP,2020,2020,18,30-39 yr,9.5,1.6
Oregon,EIP,2020,2020,18,30-39 yr,6.3,0.3
Tennessee,EIP,2020,2020,18,30-39 yr,20.5,3
Utah,IHSP,2020,2020,18,30-39 yr,15.9,3.8
California,EIP,2020,2020,18,30-39 yr,11.3,2.3
Colorado,EIP,2020,2020,18,30-39 yr,54.6,8.6
Entire Network,COVID-NET,2020,2020,18,30-39 yr,31.3,5.5
Connecticut,EIP,2020,2020,18,30-39 yr,84.2,9.4
Entire Network,EIP,2020,2020,18,30-39 yr,33.5,5.9
Georgia,EIP,2020,2020,18,30-39 yr,33.5,2.3
Iowa,IHSP,2020,2020,18,30-39 yr,120.3,50.7
Entire Network,IHSP,2020,2020,18,30-39 yr,17.7,3.3
Maryland,EIP,2020,2020,18,30-39 yr,63.3,13.5
Michigan,IHSP,2020,2020,18,30-39 yr,26.2,1.3
Minnesota,EIP,2020,2020,18,30-39 yr,18,6.7
New Mexico,EIP,2020,2020,18,30-39 yr,15.2,3.5
New York,EIP,2020,2020,18,30-39 yr,13.6,1.8
Tennessee,EIP,2020,2020,19,30-39 yr,23.5,3
Utah,IHSP,2020,2020,19,30-39 yr,20.3,4.4
Oregon,EIP,2020,2020,19,30-39 yr,7,0.7
Ohio,IHSP,2020,2020,19,30-39 yr,10.7,1.3
New Mexico,EIP,2020,2020,19,30-39 yr,18.7,3.5
New York,EIP,2020,2020,19,30-39 yr,14.7,1.1
Minnesota,EIP,2020,2020,19,30-39 yr,24.5,6.4
Michigan,IHSP,2020,2020,19,30-39 yr,27.5,1.3
California,EIP,2020,2020,19,30-39 yr,13,1.8
Entire Network,COVID-NET,2020,2020,19,30-39 yr,36.1,4.8
Colorado,EIP,2020,2020,19,30-39 yr,59,4.4
Entire Network,IHSP,2020,2020,19,30-39 yr,19.8,2.1
Maryland,EIP,2020,2020,19,30-39 yr,75.6,12.3
Iowa,IHSP,2020,2020,19,30-39 yr,120.3,0
Georgia,EIP,2020,2020,19,30-39 yr,37,3.5
Connecticut,EIP,2020,2020,19,30-39 yr,94.3,10.1
Entire Network,EIP,2020,2020,19,30-39 yr,38.7,5.2
California,EIP,2020,2020,20,30-39 yr,14.5,1.4
Colorado,EIP,2020,2020,20,30-39 yr,64.3,5.3
Entire Network,COVID-NET,2020,2020,20,30-39 yr,41.4,5.3
Connecticut,EIP,2020,2020,20,30-39 yr,100.5,6.2
Entire Network,EIP,2020,2020,20,30-39 yr,44.5,5.7
Georgia,EIP,2020,2020,20,30-39 yr,41.1,4.1
Iowa,IHSP,2020,2020,20,30-39 yr,133,12.7
Entire Network,IHSP,2020,2020,20,30-39 yr,22.5,2.7
Maryland,EIP,2020,2020,20,30-39 yr,88.4,12.8
Michigan,IHSP,2020,2020,20,30-39 yr,30.8,3.3
Minnesota,EIP,2020,2020,20,30-39 yr,32.4,7.9
New Mexico,EIP,2020,2020,20,30-39 yr,25.2,6.4
New York,EIP,2020,2020,20,30-39 yr,16.5,1.8
Ohio,IHSP,2020,2020,20,30-39 yr,12.3,1.6
Oregon,EIP,2020,2020,20,30-39 yr,7.3,0.3
Tennessee,EIP,2020,2020,20,30-39 yr,26.9,3.4
Utah,IHSP,2020,2020,20,30-39 yr,23.6,3.3
Utah,IHSP,2020,2020,21,30-39 yr,26.9,3.3
Oregon,EIP,2020,2020,21,30-39 yr,7.6,0.3
Tennessee,EIP,2020,2020,21,30-39 yr,31.1,4.2
Ohio,IHSP,2020,2020,21,30-39 yr,15.5,3.2
New York,EIP,2020,2020,21,30-39 yr,19.9,3.3
Minnesota,EIP,2020,2020,21,30-39 yr,37.8,5.4
New Mexico,EIP,2020,2020,21,30-39 yr,28.7,3.5
Michigan,IHSP,2020,2020,21,30-39 yr,30.8,0
Maryland,EIP,2020,2020,21,30-39 yr,100.4,12
Iowa,IHSP,2020,2020,21,30-39 yr,139.3,6.3
Entire Network,IHSP,2020,2020,21,30-39 yr,25,2.5
Georgia,EIP,2020,2020,21,30-39 yr,45.7,4.6
Entire Network,EIP,2020,2020,21,30-39 yr,49.5,5.1
Entire Network,COVID-NET,2020,2020,21,30-39 yr,46.1,4.7
Connecticut,EIP,2020,2020,21,30-39 yr,104.4,3.9
Colorado,EIP,2020,2020,21,30-39 yr,66.6,2.3
California,EIP,2020,2020,21,30-39 yr,16.7,2.3
Utah,IHSP,2020,2020,22,30-39 yr,30.2,3.3
New York,EIP,2020,2020,22,30-39 yr,21,1.1
Ohio,IHSP,2020,2020,22,30-39 yr,20.2,4.7
Oregon,EIP,2020,2020,22,30-39 yr,8.6,1
Tennessee,EIP,2020,2020,22,30-39 yr,39.1,8
Entire Network,EIP,2020,2020,22,30-39 yr,54.7,5.2
Georgia,EIP,2020,2020,22,30-39 yr,50.3,4.6
Iowa,IHSP,2020,2020,22,30-39 yr,139.3,0
Entire Network,IHSP,2020,2020,22,30-39 yr,28.2,3.1
Maryland,EIP,2020,2020,22,30-39 yr,110.3,9.9
Michigan,IHSP,2020,2020,22,30-39 yr,30.8,0
Minnesota,EIP,2020,2020,22,30-39 yr,45.3,7.5
New Mexico,EIP,2020,2020,22,30-39 yr,32.8,4.1
California,EIP,2020,2020,22,30-39 yr,19.6,2.9
Colorado,EIP,2020,2020,22,30-39 yr,69.1,2.5
Entire Network,COVID-NET,2020,2020,22,30-39 yr,51,4.9
Connecticut,EIP,2020,2020,22,30-39 yr,108.3,3.9
Utah,IHSP,2020,2020,23,30-39 yr,32.4,2.2
Tennessee,EIP,2020,2020,23,30-39 yr,42.5,3.4
California,EIP,2020,2020,23,30-39 yr,21.7,2.1
Connecticut,EIP,2020,2020,23,30-39 yr,113,4.7
Colorado,EIP,2020,2020,23,30-39 yr,70,0.8
Entire Network,COVID-NET,2020,2020,23,30-39 yr,54.9,3.9
Ohio,IHSP,2020,2020,23,30-39 yr,21.5,1.3
Oregon,EIP,2020,2020,23,30-39 yr,9.9,1.3
New York,EIP,2020,2020,23,30-39 yr,22.1,1.1
New Mexico,EIP,2020,2020,23,30-39 yr,36.3,3.5
Michigan,IHSP,2020,2020,23,30-39 yr,32.1,1.3
Minnesota,EIP,2020,2020,23,30-39 yr,50.5,5.2
Maryland,EIP,2020,2020,23,30-39 yr,120.2,9.9
Entire Network,IHSP,2020,2020,23,30-39 yr,29.7,1.5
Georgia,EIP,2020,2020,23,30-39 yr,54.8,4.4
Iowa,IHSP,2020,2020,23,30-39 yr,139.3,0
Entire Network,EIP,2020,2020,23,30-39 yr,59,4.3
Utah,IHSP,2020,2020,24,30-39 yr,36.2,3.8
Colorado,EIP,2020,2020,24,30-39 yr,71.3,1.3
Entire Network,COVID-NET,2020,2020,24,30-39 yr,58.2,3.3
Connecticut,EIP,2020,2020,24,30-39 yr,114.6,1.6
Entire Network,EIP,2020,2020,24,30-39 yr,62.5,3.5
Georgia,EIP,2020,2020,24,30-39 yr,60.7,5.9
Iowa,IHSP,2020,2020,24,30-39 yr,145.6,6.3
Entire Network,IHSP,2020,2020,24,30-39 yr,31.9,2.2
Maryland,EIP,2020,2020,24,30-39 yr,126.5,6.3
Michigan,IHSP,2020,2020,24,30-39 yr,32.8,0.7
Minnesota,EIP,2020,2020,24,30-39 yr,55.6,5.2
New Mexico,EIP,2020,2020,24,30-39 yr,39.2,2.9
New York,EIP,2020,2020,24,30-39 yr,22.8,0.7
Ohio,IHSP,2020,2020,24,30-39 yr,23.4,1.9
Oregon,EIP,2020,2020,24,30-39 yr,10.3,0.3
Tennessee,EIP,2020,2020,24,30-39 yr,45.5,3
California,EIP,2020,2020,24,30-39 yr,23,1.3
Utah,IHSP,2020,2020,25,30-39 yr,42.8,6.6
Tennessee,EIP,2020,2020,25,30-39 yr,49.3,3.8
Oregon,EIP,2020,2020,25,30-39 yr,11.3,1
New York,EIP,2020,2020,25,30-39 yr,23.5,0.7
Ohio,IHSP,2020,2020,25,30-39 yr,24.6,1.3
New Mexico,EIP,2020,2020,25,30-39 yr,40.4,1.2
Minnesota,EIP,2020,2020,25,30-39 yr,58.8,3.2
Maryland,EIP,2020,2020,25,30-39 yr,130.7,4.2
Michigan,IHSP,2020,2020,25,30-39 yr,32.8,0
Entire Network,IHSP,2020,2020,25,30-39 yr,34.3,2.4
California,EIP,2020,2020,25,30-39 yr,24.6,1.6
Colorado,EIP,2020,2020,25,30-39 yr,74.6,3.4
Iowa,IHSP,2020,2020,25,30-39 yr,145.6,0
