OBJECTID,DATE,COUNTY,FACILITY_NAME,Staff_Private,Residents_Private,Staff_Public,Patients_Public,Inmates_Public,Youth_Public
5546,2020/05/13 14:00:00+00,Montgomery,Kensington Healthcare Center,8,53,,,,
5547,2020/05/13 14:00:00+00,Montgomery,Kensington Park,23,27,,,,
5548,2020/05/13 14:00:00+00,Montgomery,Kindley Assisted Living at Asbury Methodist Village,3,2,,,,
5549,2020/05/13 14:00:00+00,Montgomery,Layhill Center,3,11,,,,
5550,2020/05/13 14:00:00+00,Montgomery,Manor Care Silver Spring,29,59,,,,
5551,2020/05/13 14:00:00+00,Montgomery,Manor Care Wheaton,17,58,,,,
5552,2020/05/13 14:00:00+00,Montgomery,ManorCare Health Services - Chevy Chase,4,39,,,,
5553,2020/05/13 14:00:00+00,Montgomery,ManorCare Health Services Bethesda,11,50,,,,
5554,2020/05/13 14:00:00+00,Montgomery,ManorCare Potomac,16,52,,,,
5555,2020/05/13 14:00:00+00,Montgomery,"Maplewood of Park Place, Sunrise Senior Living",5,2,,,,
5556,2020/05/13 14:00:00+00,Montgomery,Montgomery Village Health Care Center,19,51,,,,
5557,2020/05/13 14:00:00+00,Montgomery,Oak Manor Center,6,11,,,,
5558,2020/05/13 14:00:00+00,Montgomery,Olney Memory Care,4,4,,,,
5559,2020/05/13 14:00:00+00,Montgomery,Potomac Valley Rehabilitation and Healthcare Center,25,45,,,,
5560,2020/05/13 14:00:00+00,Montgomery,Regency Care of Silver Spring,32,53,,,,
5561,2020/05/13 14:00:00+00,Montgomery,Rockville Nursing Home,17,39,,,,
5562,2020/05/13 14:00:00+00,Montgomery,Seabury at Springvale Terrace,1,1,,,,
5563,2020/05/13 14:00:00+00,Montgomery,Shady Grove Center for Nursing & Rehabilitation,14,27,,,,
5564,2020/05/13 14:00:00+00,Montgomery,Sligo Creek Center - Genesis Healthcare,3,6,,,,
5565,2020/05/13 14:00:00+00,Montgomery,Sunrise at Montgomery Village,10,13,,,,
5566,2020/05/13 14:00:00+00,Montgomery,Sunrise of Chevy Chase,6,7,,,,
5567,2020/05/13 14:00:00+00,Montgomery,Sunrise of Rockville,4,0,,,,
5568,2020/05/13 14:00:00+00,Montgomery,Sunrise Senior Living - Sunrise at Fox Hill,11,10,,,,
5569,2020/05/13 14:00:00+00,Montgomery,Sunrise Senior Living Bethesda,9,6,,,,
5570,2020/05/13 14:00:00+00,Montgomery,The Landing of Silver Spring,15,17,,,,
5571,2020/05/13 14:00:00+00,Montgomery,The Manor,1,1,,,,
5572,2020/05/13 14:00:00+00,Montgomery,Tribute at Black Hill,7,4,,,,
5573,2020/05/13 14:00:00+00,Montgomery,Village at Rockville,13,31,,,,
5574,2020/05/13 14:00:00+00,Montgomery,Wilson Health Care Center at Asbury Methodist Village,23,71,,,,
5575,2020/05/13 14:00:00+00,Montgomery,Wintergrowth Assisted Living,1,3,,,,
5576,2020/05/13 14:00:00+00,Prince George's,Adelphi Nursing and Rehabilitation,11,41,,,,
5577,2020/05/13 14:00:00+00,Prince George's,Arbor Terrace Senior Living,0,1,,,,
5578,2020/05/13 14:00:00+00,Prince George's,Autumn Lake Healthcare at Cherry Lane,17,28,,,,
5579,2020/05/13 14:00:00+00,Prince George's,Bradford Oaks Center,7,0,,,,
5580,2020/05/13 14:00:00+00,Prince George's,Brookdale Woodward Estates,5,7,,,,
5581,2020/05/13 14:00:00+00,Prince George's,Cadia Hyattsville,17,18,,,,
5582,2020/05/13 14:00:00+00,Prince George's,Cheltenham Youth Detention Center,,,1,,,0
5583,2020/05/13 14:00:00+00,Prince George's,Clinton Nursing and Rehabilitation Center,39,105,,,,
5584,2020/05/13 14:00:00+00,Prince George's,Collington,5,11,,,,
5585,2020/05/13 14:00:00+00,Prince George's,Crescent Cities,5,33,,,,
5586,2020/05/13 14:00:00+00,Prince George's,Doctors Community Rehabilitation and Patient Care Center,4,29,,,,
5587,2020/05/13 14:00:00+00,Prince George's,Forestville Healthcare Center,12,22,,,,
5588,2020/05/13 14:00:00+00,Prince George's,Fort Washington Health Center,9,16,,,,
5589,2020/05/13 14:00:00+00,Prince George's,Future Care Capitol Region,19,33,,,,
5590,2020/05/13 14:00:00+00,Prince George's,Future Care Pineview,15,6,,,,
5591,2020/05/13 14:00:00+00,Prince George's,"Hillhaven Assisted Living, Nursing and Rehabilitation Center",22,36,,,,
5592,2020/05/13 14:00:00+00,Prince George's,Hyattsville Health and Rehab,9,33,,,,
5593,2020/05/13 14:00:00+00,Prince George's,Largo Nursing & Rehabilitation Center,9,13,,,,
5594,2020/05/13 14:00:00+00,Prince George's,Larkin Chase Center,25,77,,,,
5595,2020/05/13 14:00:00+00,Prince George's,Patuxent River Health and Rehabilitation Center,17,16,,,,
5596,2020/05/13 14:00:00+00,Prince George's,Prince George's County Jail,,,32,19,,
5597,2020/05/13 14:00:00+00,Prince George's,Riderwood Village - Arbor Ridge,34,68,,,,
5598,2020/05/13 14:00:00+00,Prince George's,Sacred Heart Home Inc,4,3,,,,
5599,2020/05/13 14:00:00+00,Prince George's,The W Assisted LIving,0,5,,,,
5600,2020/05/13 14:00:00+00,Prince George's,Villa Rosa Nursing & Rehabilitation Center,4,21,,,,
5601,2020/05/13 14:00:00+00,Queen Anne's,Corsica Hills Center,4,0,,,,
5602,2020/05/13 14:00:00+00,Queen Anne's,Eastern Pre-Release Unit,,,0,,0,
5603,2020/05/13 14:00:00+00,Somerset,Eastern Correctional Institution,,,2,,0,
5604,2020/05/13 14:00:00+00,Somerset,Eastern Correctional Institution Annex,,,1,,0,
5605,2020/05/13 14:00:00+00,Somerset,Somerset County Detention Center,,,2,0,,
5606,2020/05/13 14:00:00+00,St. Mary's,Charlotte Hall Veterans Home,13,55,,,,
5607,2020/05/13 14:00:00+00,St. Mary's,Chesapeake Shores,2,1,,,,
5608,2020/05/13 14:00:00+00,St. Mary's,Southern Maryland Pre-Release Unit,,,1,,0,
5609,2020/05/13 14:00:00+00,Washington,Homewood Hilltop,1,5,,,,
5610,2020/05/13 14:00:00+00,Washington,Roxbury Correctional Institution,,,0,,1,
5611,2020/05/13 14:00:00+00,Washington,Sterling Care South Mountain,4,14,,,,
5612,2020/05/13 14:00:00+00,Wicomico,Anchorage Healthcare Center,5,13,,,,
5613,2020/05/13 14:00:00+00,Wicomico,Lower Eastern Shore Children's Center/J. DeWeese Carter Center,,,1,,,0
5614,2020/05/13 14:00:00+00,Wicomico,Salisbury Rehabilitation and Nursing Center,7,29,,,,
5615,2020/05/13 14:00:00+00,Wicomico,Sterling Care at Harbor Point,1,0,,,,
5616,2020/05/13 14:00:00+00,Worcester,Autumn Lake Healthcare at Hartley Hall,1,0,,,,
5617,2020/05/13 14:00:00+00,Worcester,Berlin Nursing and Rehabilitation Center,6,24,,,,
5618,2020/05/20 14:00:00+00,Allegany,Cumberland Healthcare Center,30,78,,,,
5619,2020/05/20 14:00:00+00,Allegany,Moran Manor Nursing and Rehabilitation Center,0,1,,,,
5620,2020/05/20 14:00:00+00,Allegany,North Branch Correctional Institution,,,1,,0,
5621,2020/05/20 14:00:00+00,Allegany,Sterling Care Frostburg Village,1,2,,,,
5622,2020/05/20 14:00:00+00,Allegany,The Thomas B. Finan Center,,,0,1,,
5623,2020/05/20 14:00:00+00,Allegany,Western Correctional Institution,,,2,,0,
5624,2020/05/20 14:00:00+00,Anne Arundel,Anne Arundel Detention Center Jennifer Road,,,1,0,,
5625,2020/05/20 14:00:00+00,Anne Arundel,Atria Manresa,3,12,,,,
5626,2020/05/20 14:00:00+00,Anne Arundel,Cadia Healthcare Annapolis,1,0,,,,
5627,2020/05/20 14:00:00+00,Anne Arundel,Crofton Care and Rehabilitation,9,44,,,,
5628,2020/05/20 14:00:00+00,Anne Arundel,Dorsey Run Correctional Facility,,,31,,13,
5629,2020/05/20 14:00:00+00,Anne Arundel,Fairfield Nursing and Rehabilitation Center,27,34,,,,
5630,2020/05/20 14:00:00+00,Anne Arundel,FutureCare Chesapeake,51,80,,,,
5631,2020/05/20 14:00:00+00,Anne Arundel,Genesis Severna Park,3,8,,,,
5632,2020/05/20 14:00:00+00,Anne Arundel,Genesis Waugh Chapel,17,57,,,,
5633,2020/05/20 14:00:00+00,Anne Arundel,Glen Burnie Health and Rehabilitation Center,0,14,,,,
5634,2020/05/20 14:00:00+00,Anne Arundel,Heritage Harbour Health and Rehabilitation Center,7,28,,,,
5635,2020/05/20 14:00:00+00,Anne Arundel,Inspiration Memory Care Linthicum,8,22,,,,
5636,2020/05/20 14:00:00+00,Anne Arundel,Jessup Correctional Institution *Including Baltimore Pretrial Complex (BPFJ),,,45,,19,
5637,2020/05/20 14:00:00+00,Anne Arundel,Marley Neck Health and Rehabilitation Center,8,24,,,,
5638,2020/05/20 14:00:00+00,Anne Arundel,Maryland Correctional Institution - Jessup,,,16,,8,
5639,2020/05/20 14:00:00+00,Anne Arundel,Maryland Correctional Institution for Women,,,37,,15,
5640,2020/05/20 14:00:00+00,Anne Arundel,North Arundel Health and Rehabilitation Center,28,47,,,,
5641,2020/05/20 14:00:00+00,Anne Arundel,Patuxent Institution *Including Correctional Mental Health Center-Jessup,,,36,,19,
5642,2020/05/20 14:00:00+00,Anne Arundel,Regency Park Assisted Living,0,10,,,,
5643,2020/05/20 14:00:00+00,Anne Arundel,Somerford Assisted Living,3,0,,,,
5644,2020/05/20 14:00:00+00,Anne Arundel,South River Healthcare Center,12,58,,,,
5645,2020/05/20 14:00:00+00,Anne Arundel,Spa Creek Center,9,21,,,,
5646,2020/05/20 14:00:00+00,Baltimore City,Arlington West Care Center,2,0,,,,
5647,2020/05/20 14:00:00+00,Baltimore City,Autumn Lake Healthcare at Bridgepark,20,58,,,,
5648,2020/05/20 14:00:00+00,Baltimore City,Baltimore Central Booking and Intake Center,,,17,,10,
5649,2020/05/20 14:00:00+00,Baltimore City,Baltimore City Correctional Center,,,2,,0,
5650,2020/05/20 14:00:00+00,Baltimore City,Baltimore City Juvenile Justice Center,,,4,,,0
5651,2020/05/20 14:00:00+00,Baltimore City,Blue Point Healthcare Center,1,21,,,,
5652,2020/05/20 14:00:00+00,Baltimore City,Chesapeake Detention Facility (Formerly MCAC),,,5,,1,
5653,2020/05/20 14:00:00+00,Baltimore City,Esther's Place at Pinewood,1,11,,,,
5654,2020/05/20 14:00:00+00,Baltimore City,Fayette Health and Rehabilitation Center,1,5,,,,
5655,2020/05/20 14:00:00+00,Baltimore City,Future Care Charles Village,24,76,,,,
5656,2020/05/20 14:00:00+00,Baltimore City,Future Care Irvington,19,40,,,,
5657,2020/05/20 14:00:00+00,Baltimore City,FutureCare Canton Harbor,8,11,,,,
5658,2020/05/20 14:00:00+00,Baltimore City,FutureCare Cold Spring,15,36,,,,
5659,2020/05/20 14:00:00+00,Baltimore City,FutureCare Good Samaritan,10,28,,,,
5660,2020/05/20 14:00:00+00,Baltimore City,FutureCare Homewood,3,4,,,,
5661,2020/05/20 14:00:00+00,Baltimore City,FutureCare Lochearn,75,158,,,,
5662,2020/05/20 14:00:00+00,Baltimore City,FutureCare Sandtown,25,31,,,,
5663,2020/05/20 14:00:00+00,Baltimore City,Keswick Multi-Care Center,3,11,,,,
5664,2020/05/20 14:00:00+00,Baltimore City,Levindale Hebrew Geriatric Center and Hospital,39,56,,,,
5665,2020/05/20 14:00:00+00,Baltimore City,"Maryland Reception, Diagnostic and Classification Center",,,27,,3,
5666,2020/05/20 14:00:00+00,Baltimore City,Metropolitan Transition Center,,,41,,11,
5667,2020/05/20 14:00:00+00,Baltimore City,Nursing and Rehab Center at Stadium Place,7,4,,,,
5668,2020/05/20 14:00:00+00,Baltimore City,Peak Health Caton Manor,6,37,,,,
5669,2020/05/20 14:00:00+00,Baltimore City,Post Acute Care Center,16,58,,,,
5670,2020/05/20 14:00:00+00,Baltimore City,Roland Park Place,3,2,,,,
5671,2020/05/20 14:00:00+00,Baltimore City,Rosemarie Manor Inc.,1,0,,,,
5672,2020/05/20 14:00:00+00,Baltimore City,Springwell Senior Living,5,4,,,,
5673,2020/05/20 14:00:00+00,Baltimore City,The Neighborhoods at St. Elizabeth Rehabilitation & Nursing Center,20,20,,,,
5674,2020/05/20 14:00:00+00,Baltimore City,Westgate Hills Rehabilitation & Healthcare Center,17,56,,,,
5675,2020/05/20 14:00:00+00,Baltimore City,Youth Detention Center,,,2,,1,
5676,2020/05/20 14:00:00+00,Baltimore County,Arden Courts of Towson,5,28,,,,
5677,2020/05/20 14:00:00+00,Baltimore County,Autumn Lake Healthcare at Riverview,1,2,,,,
5678,2020/05/20 14:00:00+00,Baltimore County,Autumn Lake Pikesville,10,61,,,,
5679,2020/05/20 14:00:00+00,Baltimore County,Baltimore County Detention Center,,,5,6,,
5680,2020/05/20 14:00:00+00,Baltimore County,Blakehurst Lifecare Community,3,0,,,,
5681,2020/05/20 14:00:00+00,Baltimore County,Brightview White Marsh - Brightview Senior Living,0,1,,,,
5682,2020/05/20 14:00:00+00,Baltimore County,Broadmead,1,0,,,,
5683,2020/05/20 14:00:00+00,Baltimore County,Chapel Hill Nursing and Rehabilitation Center,1,3,,,,
5684,2020/05/20 14:00:00+00,Baltimore County,"Charles H. Hickey, Jr. School",,,2,,,0
5685,2020/05/20 14:00:00+00,Baltimore County,Charlestown Senior Living Community,28,27,,,,
5686,2020/05/20 14:00:00+00,Baltimore County,Edenwald,2,0,,,,
5687,2020/05/20 14:00:00+00,Baltimore County,Forest Haven Nursing & Rehab Center,27,70,,,,
5688,2020/05/20 14:00:00+00,Baltimore County,Frederick Villa Nursing and Rehabilitation Center,36,74,,,,
5689,2020/05/20 14:00:00+00,Baltimore County,Futurecare Cherrywood,42,86,,,,
5690,2020/05/20 14:00:00+00,Baltimore County,FutureCare Courtland,12,29,,,,
5691,2020/05/20 14:00:00+00,Baltimore County,FutureCare Northpoint,20,28,,,,
5692,2020/05/20 14:00:00+00,Baltimore County,FutureCare Old Court,38,75,,,,
5693,2020/05/20 14:00:00+00,Baltimore County,Genesis Catonsville Commons,12,40,,,,
5694,2020/05/20 14:00:00+00,Baltimore County,Genesis Cromwell Center,8,41,,,,
5695,2020/05/20 14:00:00+00,Baltimore County,Genesis Eldercare Franklin Woods,2,0,,,,
5696,2020/05/20 14:00:00+00,Baltimore County,Genesis Loch Raven,20,69,,,,
5697,2020/05/20 14:00:00+00,Baltimore County,Genesis Multi-Medical Center,3,1,,,,
5698,2020/05/20 14:00:00+00,Baltimore County,Glen Meadows Retirement Community,1,1,,,,
5699,2020/05/20 14:00:00+00,Baltimore County,Heritage Center Genesis Eldercare,7,37,,,,
5700,2020/05/20 14:00:00+00,Baltimore County,Holly Hills Manor,9,10,,,,
5701,2020/05/20 14:00:00+00,Baltimore County,Jewish Community Services Laurelwood,1,0,,,,
5702,2020/05/20 14:00:00+00,Baltimore County,Little Sisters of the Poor,4,0,,,,
5703,2020/05/20 14:00:00+00,Baltimore County,Ma Maison Assisted Living,0,3,,,,
5704,2020/05/20 14:00:00+00,Baltimore County,ManorCare Health Services - Ruxton,0,10,,,,
5705,2020/05/20 14:00:00+00,Baltimore County,ManorCare Health Services- Rossville,13,60,,,,
5706,2020/05/20 14:00:00+00,Baltimore County,Maryland Masonic Homes,12,23,,,,
5707,2020/05/20 14:00:00+00,Baltimore County,Meadow Park Rehabilitation and Healthcare,17,24,,,,
5708,2020/05/20 14:00:00+00,Baltimore County,North Oak,1,3,,,,
5709,2020/05/20 14:00:00+00,Baltimore County,Oak Crest,16,30,,,,
5710,2020/05/20 14:00:00+00,Baltimore County,Oakwood Care Center,15,74,,,,
5711,2020/05/20 14:00:00+00,Baltimore County,Orchard Hill Health and Rehab,7,49,,,,
5712,2020/05/20 14:00:00+00,Baltimore County,Patapsco Valley Center,19,52,,,,
5713,2020/05/20 14:00:00+00,Baltimore County,Ridgeway Manor,13,18,,,,
5714,2020/05/20 14:00:00+00,Baltimore County,Spring Grove Psychiatric Hospital,,,16,43,,
5715,2020/05/20 14:00:00+00,Baltimore County,Stella Maris,18,17,,,,
5716,2020/05/20 14:00:00+00,Baltimore County,Summit Park Health & Rehabilitation Center,14,20,,,,
5717,2020/05/20 14:00:00+00,Baltimore County,Sunrise of Pikesville,3,0,,,,
5718,2020/05/20 14:00:00+00,Baltimore County,Village at Augsburg -- Assisted Living,1,2,,,,
5719,2020/05/20 14:00:00+00,Baltimore County,Village at Augsburg -- Nursing Home,37,74,,,,
5720,2020/05/20 14:00:00+00,Caroline,Autumn Lake Healthcare at Denton,0,1,,,,
5721,2020/05/20 14:00:00+00,Carroll,Birch Manor Healthcare Center,0,20,,,,
5722,2020/05/20 14:00:00+00,Carroll,Brinton Woods Health & Rehabilitation Center at Winfield,0,2,,,,
5723,2020/05/20 14:00:00+00,Carroll,Carroll Lutheran Village,13,44,,,,
5724,2020/05/20 14:00:00+00,Carroll,Central Maryland Correctional Facility (Formerly CLF),,,2,,1,
5725,2020/05/20 14:00:00+00,Carroll,Copper Ridge,0,1,,,,
5726,2020/05/20 14:00:00+00,Carroll,Fairhaven,21,38,,,,
5727,2020/05/20 14:00:00+00,Carroll,Golden Crest 1,1,0,,,,
5728,2020/05/20 14:00:00+00,Carroll,Inspirations Memory Care of Westminster,3,4,,,,
5729,2020/05/20 14:00:00+00,Carroll,Longview Nursing Home Inc.,0,15,,,,
5730,2020/05/20 14:00:00+00,Carroll,Lorien Mount Airy,7,6,,,,
5731,2020/05/20 14:00:00+00,Carroll,Lorien Taneytown,0,1,,,,
5732,2020/05/20 14:00:00+00,Carroll,Silver Oak Academy,14,26,,,,
5733,2020/05/20 14:00:00+00,Carroll,Springfield Hospital Center,,,7,1,,
5734,2020/05/20 14:00:00+00,Carroll,Sun Valley at Homestead,0,1,,,,
5735,2020/05/20 14:00:00+00,Carroll,Westminster Healthcare Center,13,66,,,,
5736,2020/05/20 14:00:00+00,Cecil,Calvert Manor Healthcare Center,17,112,,,,
5737,2020/05/20 14:00:00+00,Charles,Genesis La Plata,5,0,,,,
5738,2020/05/20 14:00:00+00,Charles,Genesis Waldorf,3,0,,,,
5739,2020/05/20 14:00:00+00,Charles,Morningside House of St Charles,0,1,,,,
5740,2020/05/20 14:00:00+00,Charles,Restore Health Rehabilitation Center,5,10,,,,
5741,2020/05/20 14:00:00+00,Charles,The Charleston Senior Community,10,34,,,,
5742,2020/05/20 14:00:00+00,Dorchester,Chesapeake Woods Center,1,0,,,,
5743,2020/05/20 14:00:00+00,Dorchester,Chesapeake Woods Center,1,0,,,,
5744,2020/05/20 14:00:00+00,Dorchester,Eastern Shore Hospital Center,,,3,0,,
5745,2020/05/20 14:00:00+00,Frederick,Ballenger Creek - Genesis Healthcare,44,89,,,,
5746,2020/05/20 14:00:00+00,Frederick,Citizens Care and Rehabilitation Center of Frederick,14,14,,,,
5747,2020/05/20 14:00:00+00,Frederick,Country Meadows of Frederick,20,29,,,,
5748,2020/05/20 14:00:00+00,Frederick,Edenton Retirement Community,4,0,,,,
5749,2020/05/20 14:00:00+00,Frederick,Glade Valley Center - Genesis Healthcare,4,14,,,,
5750,2020/05/20 14:00:00+00,Frederick,Homewood at Frederick,33,40,,,,
5751,2020/05/20 14:00:00+00,Frederick,Montevue Assisted Living,0,1,,,,
5752,2020/05/20 14:00:00+00,Frederick,Northampton Manor Nursing and Rehabilitation Center,21,67,,,,
5753,2020/05/20 14:00:00+00,Frederick,Somerford House Frederick,7,2,,,,
5754,2020/05/20 14:00:00+00,Frederick,Spring Arbor of Frederick,1,0,,,,
5755,2020/05/20 14:00:00+00,Frederick,Tranquility of Frederickstowne,6,6,,,,
5756,2020/05/20 14:00:00+00,Frederick,Victor Cullen Center,,,1,,,0
5757,2020/05/20 14:00:00+00,Harford,Bel Air Health and Rehabilitation Center,28,84,,,,
5758,2020/05/20 14:00:00+00,Harford,Forest Hill Health & Rehab Center,30,89,,,,
5759,2020/05/20 14:00:00+00,Howard,Brighton Gardens of Columbia,1,0,,,,
5760,2020/05/20 14:00:00+00,Howard,Clifton T. Perkins Hospital Center,,,14,15,,
5761,2020/05/20 14:00:00+00,Howard,Ellicott City Healthcare Center,34,105,,,,
5762,2020/05/20 14:00:00+00,Howard,Howard County Detention Center,,,2,0,,
5763,2020/05/20 14:00:00+00,Howard,Lorien Columbia,3,10,,,,
5764,2020/05/20 14:00:00+00,Howard,Lorien Elkridge,3,15,,,,
5765,2020/05/20 14:00:00+00,Howard,Lorien Harmony Hall,1,0,,,,
5766,2020/05/20 14:00:00+00,Howard,Lutheran Village at Miller's Grant,1,1,,,,
5767,2020/05/20 14:00:00+00,Howard,Morningside House of Ellicott City,1,1,,,,
5768,2020/05/20 14:00:00+00,Howard,Residences at Vantage Point,4,3,,,,
5769,2020/05/20 14:00:00+00,Howard,Sunrise of Columbia,8,11,,,,
5770,2020/05/20 14:00:00+00,Kent,Peak Healthcare Chestertown,13,60,,,,
5771,2020/05/20 14:00:00+00,Kent,The Resort at Chester Manor,4,22,,,,
5772,2020/05/20 14:00:00+00,Montgomery,Alfred D. Noyes Children's Center,,,2,,,0
5773,2020/05/20 14:00:00+00,Montgomery,Alfred House One,0,1,,,,
5774,2020/05/20 14:00:00+00,Montgomery,Arcola Health and Rehabilitation Center,13,21,,,,
5775,2020/05/20 14:00:00+00,Montgomery,Arden Courts of Kensington,3,22,,,,
5776,2020/05/20 14:00:00+00,Montgomery,Arden Courts of Potomac,6,20,,,,
5777,2020/05/20 14:00:00+00,Montgomery,Arden Courts of Silver Spring,3,18,,,,
5778,2020/05/20 14:00:00+00,Montgomery,Aspenwood Senior Living Community,1,2,,,,
5779,2020/05/20 14:00:00+00,Montgomery,Autumn Lake Healthcare at Oakview,17,63,,,,
5780,2020/05/20 14:00:00+00,Montgomery,Bedford Court,10,4,,,,
5781,2020/05/20 14:00:00+00,Montgomery,Bel Pre Healthcare Center,11,50,,,,
5782,2020/05/20 14:00:00+00,Montgomery,Bethesda Health and Rehab,23,68,,,,
5783,2020/05/20 14:00:00+00,Montgomery,Brighton Gardens at Friendship Heights,0,2,,,,
5784,2020/05/20 14:00:00+00,Montgomery,Brighton Gardens of Tuckerman Lane,17,24,,,,
5785,2020/05/20 14:00:00+00,Montgomery,Brightview Fallsgrove-Rockville Senior Assisted Living and Memory Care,10,2,,,,
5786,2020/05/20 14:00:00+00,Montgomery,Brightview West End - Brightview Senior Living,4,4,,,,
5787,2020/05/20 14:00:00+00,Montgomery,Brookdale Olney,1,4,,,,
5788,2020/05/20 14:00:00+00,Montgomery,Brookdale Potomac Assisted Living,4,15,,,,
5789,2020/05/20 14:00:00+00,Montgomery,Brooke Grove Retirement Community,24,56,,,,
5790,2020/05/20 14:00:00+00,Montgomery,Brookeville House,2,3,,,,
5791,2020/05/20 14:00:00+00,Montgomery,"Cadia Healthcare of Springbrook, MD",16,18,,,,
5792,2020/05/20 14:00:00+00,Montgomery,Cadia Healthcare Wheaton,8,32,,,,
5793,2020/05/20 14:00:00+00,Montgomery,Carriage Hill,17,13,,,,
5794,2020/05/20 14:00:00+00,Montgomery,Cedar Creek Memory Care Homes- Maple Ridge,10,10,,,,
5795,2020/05/20 14:00:00+00,Montgomery,Collingswood Rehabilitation and Healthcare Center,36,100,,,,
5796,2020/05/20 14:00:00+00,Montgomery,Fairland Center,6,3,,,,
5797,2020/05/20 14:00:00+00,Montgomery,Fox Chase Rehabilitation & Nursing,3,7,,,,
5798,2020/05/20 14:00:00+00,Montgomery,Hebrew Home of Greater Washington,31,49,,,,
5799,2020/05/20 14:00:00+00,Montgomery,JK House of Grace,1,0,,,,
5800,2020/05/20 14:00:00+00,Montgomery,Kensington Healthcare Center,8,53,,,,
5801,2020/05/20 14:00:00+00,Montgomery,Kensington Park,23,28,,,,
5802,2020/05/20 14:00:00+00,Montgomery,Kindley Assisted Living at Asbury Methodist Village,5,2,,,,
5803,2020/05/20 14:00:00+00,Montgomery,Layhill Center,3,11,,,,
5804,2020/05/20 14:00:00+00,Montgomery,Manor Care Silver Spring,29,69,,,,
5805,2020/05/20 14:00:00+00,Montgomery,Manor Care Wheaton,17,58,,,,
5806,2020/05/20 14:00:00+00,Montgomery,ManorCare Health Services - Chevy Chase,4,39,,,,
5807,2020/05/20 14:00:00+00,Montgomery,ManorCare Health Services Bethesda,12,52,,,,
5808,2020/05/20 14:00:00+00,Montgomery,ManorCare Potomac,20,54,,,,
5809,2020/05/20 14:00:00+00,Montgomery,"Maplewood of Park Place, Sunrise Senior Living",7,2,,,,
5810,2020/05/20 14:00:00+00,Montgomery,Marian Assisted Living,1,3,,,,
5811,2020/05/20 14:00:00+00,Montgomery,Montgomery Village Health Care Center,22,52,,,,
5812,2020/05/20 14:00:00+00,Montgomery,Olney Memory Care,7,9,,,,
5813,2020/05/20 14:00:00+00,Montgomery,Potomac Valley Rehabilitation and Healthcare Center,44,87,,,,
5814,2020/05/20 14:00:00+00,Montgomery,Regency Care of Silver Spring,32,54,,,,
5815,2020/05/20 14:00:00+00,Montgomery,Rockville Nursing Home,21,41,,,,
5816,2020/05/20 14:00:00+00,Montgomery,Seabury at Springvale Terrace,3,1,,,,
5817,2020/05/20 14:00:00+00,Montgomery,Shady Grove Center for Nursing & Rehabilitation,15,36,,,,
5818,2020/05/20 14:00:00+00,Montgomery,Sligo Creek Center - Genesis Healthcare,3,8,,,,
5819,2020/05/20 14:00:00+00,Montgomery,Sunrise at Montgomery Village,18,14,,,,
5820,2020/05/20 14:00:00+00,Montgomery,Sunrise of Chevy Chase,7,7,,,,
5821,2020/05/20 14:00:00+00,Montgomery,Sunrise Senior Living - Sunrise at Fox Hill,9,10,,,,
5822,2020/05/20 14:00:00+00,Montgomery,Sunrise Senior Living Bethesda,9,18,,,,
5823,2020/05/20 14:00:00+00,Montgomery,The Landing of Silver Spring,16,13,,,,
5824,2020/05/20 14:00:00+00,Montgomery,The Manor,1,1,,,,
5825,2020/05/20 14:00:00+00,Montgomery,Tribute at Black Hill,7,4,,,,
5826,2020/05/20 14:00:00+00,Montgomery,Village at Rockville,13,31,,,,
5827,2020/05/20 14:00:00+00,Montgomery,Wilson Health Care Center at Asbury Methodist Village,23,71,,,,
5828,2020/05/20 14:00:00+00,Montgomery,Wintergrowth Assisted Living,1,10,,,,
5829,2020/05/20 14:00:00+00,Prince George's,Adelphi Nursing and Rehabilitation,13,45,,,,
5830,2020/05/20 14:00:00+00,Prince George's,Arbor Terrace Senior Living,0,1,,,,
5831,2020/05/20 14:00:00+00,Prince George's,Autumn Lake Healthcare at Cherry Lane,22,86,,,,
5832,2020/05/20 14:00:00+00,Prince George's,Bradford Oaks Center,8,0,,,,
5833,2020/05/20 14:00:00+00,Prince George's,Brookdale Woodward Estates,5,7,,,,
5834,2020/05/20 14:00:00+00,Prince George's,Cadia Hyattsville,24,26,,,,
5835,2020/05/20 14:00:00+00,Prince George's,Cheltenham Youth Detention Center,,,1,,,0
5836,2020/05/20 14:00:00+00,Prince George's,Clinton Nursing and Rehabilitation Center,40,156,,,,
5837,2020/05/20 14:00:00+00,Prince George's,Collington,5,11,,,,
5838,2020/05/20 14:00:00+00,Prince George's,Crescent Cities,7,33,,,,
5839,2020/05/20 14:00:00+00,Prince George's,Doctors Community Rehabilitation and Patient Care Center,5,29,,,,
5840,2020/05/20 14:00:00+00,Prince George's,Forestville Healthcare Center,12,19,,,,
5841,2020/05/20 14:00:00+00,Prince George's,Fort Washington Health Center,9,37,,,,
5842,2020/05/20 14:00:00+00,Prince George's,Future Care Capitol Region,22,37,,,,
5843,2020/05/20 14:00:00+00,Prince George's,Future Care Pineview,15,6,,,,
5844,2020/05/20 14:00:00+00,Prince George's,"Hillhaven Assisted Living, Nursing and Rehabilitation Center",26,37,,,,
5845,2020/05/20 14:00:00+00,Prince George's,Hyattsville Health and Rehab,11,37,,,,
