DATE,COUNTY,FACILITY_NAME,"Staff:_Nursing,_Assisted_Living,_Group_Homes_Affected_Facilities","Residents:_Nursing,_Assisted_Living,_Group_Homes_Affected_Facilities",Staff:_State_and_Local_Affected_Facilities,Patients:_State_and_Local_Affected_Facilities,Inmates:_State_and_Local_Affected_Facilities,Youth:_State_and_Local_Affected_Facilities,OBJECTID
5/6/2020,Baltimore City,Levindale Hebrew Geriatric Center and Hospital,36,54,N/A,N/A,N/A,N/A,273
5/6/2020,Baltimore City,Manor Care Roland Park,2,2,N/A,N/A,N/A,N/A,274
5/6/2020,Baltimore City,"Maryland Reception, Diagnostic and Classification Center",N/A,N/A,27,N/A,3,N/A,275
5/6/2020,Baltimore City,Metropolitan Transition Center,N/A,N/A,25,N/A,1,N/A,276
5/6/2020,Baltimore City,Nursing and Rehab Center at Stadium Place,1,2,N/A,N/A,N/A,N/A,277
5/6/2020,Baltimore City,Peak Health Caton Manor,6,38,N/A,N/A,N/A,N/A,278
5/6/2020,Baltimore City,Post Acute Care Center,5,27,N/A,N/A,N/A,N/A,279
5/6/2020,Baltimore City,Roland Park Place,1,1,N/A,N/A,N/A,N/A,280
5/6/2020,Baltimore City,Springwell Senior Living,4,4,N/A,N/A,N/A,N/A,281
5/6/2020,Baltimore City,Symphony Manor Baltimore,0,2,N/A,N/A,N/A,N/A,282
5/6/2020,Baltimore City,The Neighborhoods at St. Elizabeth Rehabilitation & Nursing Center,13,12,N/A,N/A,N/A,N/A,283
5/6/2020,Baltimore City,Westgate Hills Rehabilitation & Healthcare Center,11,28,N/A,N/A,N/A,N/A,284
5/6/2020,Baltimore City,Youth Detention Center,N/A,N/A,2,N/A,0,N/A,285
5/6/2020,Baltimore County,Arden Court of Towson,2,16,N/A,N/A,N/A,N/A,286
5/6/2020,Baltimore County,Atrium Village,6,16,N/A,N/A,N/A,N/A,287
5/6/2020,Baltimore County,Autumn Lake Healthcare at Riverview,1,2,N/A,N/A,N/A,N/A,288
5/6/2020,Baltimore County,Autumn Lake Pikesville,8,59,N/A,N/A,N/A,N/A,289
5/6/2020,Baltimore County,Baltimore County Detention Center,N/A,N/A,2,6,N/A,N/A,290
5/6/2020,Baltimore County,Brookdale Pikesville,6,17,N/A,N/A,N/A,N/A,291
5/6/2020,Baltimore County,Chapel Hill Nursing and Rehabilitation Center,1,3,N/A,N/A,N/A,N/A,292
5/6/2020,Baltimore County,"Charles H. Hickey, Jr. School",N/A,N/A,2,N/A,N/A,0,293
5/6/2020,Baltimore County,Charlestown Senior Living Community,11,20,N/A,N/A,N/A,N/A,294
5/6/2020,Baltimore County,Chesapeake Treatment Center,2,1,N/A,N/A,N/A,N/A,295
5/6/2020,Baltimore County,Edenwald,3,1,N/A,N/A,N/A,N/A,296
5/6/2020,Baltimore County,Forest Haven Nursing & Rahab Center,0,1,N/A,N/A,N/A,N/A,297
5/6/2020,Baltimore County,Frederick Villa Nursing and Rehabilitation Center,36,67,N/A,N/A,N/A,N/A,298
5/6/2020,Baltimore County,Futurecare Cherrywood,25,61,N/A,N/A,N/A,N/A,299
5/6/2020,Baltimore County,FutureCare Courtland,6,12,N/A,N/A,N/A,N/A,300
5/6/2020,Baltimore County,FutureCare Northpoint,1,4,N/A,N/A,N/A,N/A,301
5/6/2020,Baltimore County,FutureCare Old Court,37,73,N/A,N/A,N/A,N/A,302
5/6/2020,Baltimore County,Genesis Catonsville Commons,5,24,N/A,N/A,N/A,N/A,303
5/6/2020,Baltimore County,Genesis Cromwell Center,7,29,N/A,N/A,N/A,N/A,304
5/6/2020,Baltimore County,Genesis Loch Raven,19,69,N/A,N/A,N/A,N/A,305
5/6/2020,Baltimore County,Genesis Multi-Medical Center,1,0,N/A,N/A,N/A,N/A,306
5/6/2020,Baltimore County,Heritage Center Genesis Eldercare,7,35,N/A,N/A,N/A,N/A,307
5/6/2020,Baltimore County,King David Nursing and Rehabilitation Center,3,2,N/A,N/A,N/A,N/A,308
5/6/2020,Baltimore County,Lorien Mays Chapel,1,0,N/A,N/A,N/A,N/A,309
5/6/2020,Baltimore County,ManorCare Health Services- Rossville,12,39,N/A,N/A,N/A,N/A,310
5/6/2020,Baltimore County,ManorCare Health Services- Towson,6,4,N/A,N/A,N/A,N/A,311
5/6/2020,Baltimore County,Maryland Masonic Homes,11,22,N/A,N/A,N/A,N/A,312
5/6/2020,Baltimore County,Meadow Park Rehabilitation and Healthcare,14,20,N/A,N/A,N/A,N/A,313
5/6/2020,Baltimore County,New Life Health Living,2,4,N/A,N/A,N/A,N/A,314
5/6/2020,Baltimore County,Oak Crest,11,16,N/A,N/A,N/A,N/A,315
5/6/2020,Baltimore County,Oakwood Care Center,10,51,N/A,N/A,N/A,N/A,316
5/6/2020,Baltimore County,Orchard Hill Health and Rehab,7,19,N/A,N/A,N/A,N/A,317
5/6/2020,Baltimore County,Patapsco Valley Center,8,37,N/A,N/A,N/A,N/A,318
5/6/2020,Baltimore County,Ridgeway Manor,2,12,N/A,N/A,N/A,N/A,319
5/6/2020,Baltimore County,Spring Grove Psychiatric Hospital,N/A,N/A,10,30,N/A,N/A,320
5/6/2020,Baltimore County,Stella Maris,9,13,N/A,N/A,N/A,N/A,321
5/6/2020,Baltimore County,Summit Park Health & Rehabilitation Center,5,10,N/A,N/A,N/A,N/A,322
5/6/2020,Baltimore County,Sunrise of Pikesville,1,0,N/A,N/A,N/A,N/A,323
5/6/2020,Baltimore County,Village at Augsburg,13,32,N/A,N/A,N/A,N/A,324
5/6/2020,Calvert,Calvert County Nursing Center,3,0,N/A,N/A,N/A,N/A,325
5/6/2020,Carroll,Birch Manor Healthcare Center,0,4,N/A,N/A,N/A,N/A,326
5/6/2020,Carroll,Brinton Woods Health & Rehabilitation Center at Winfield,0,1,N/A,N/A,N/A,N/A,327
5/6/2020,Carroll,Carroll Lutheran Village,12,38,N/A,N/A,N/A,N/A,328
5/6/2020,Carroll,Central Maryland Correctional Facility (Formerly CLF),N/A,N/A,0,N/A,0,N/A,329
5/6/2020,Carroll,Fairhaven,5,32,N/A,N/A,N/A,N/A,330
5/6/2020,Carroll,Lorien Mount Airy,5,1,N/A,N/A,N/A,N/A,331
5/6/2020,Carroll,Pleasant View Nursing Home,42,84,N/A,N/A,N/A,N/A,332
5/6/2020,Carroll,Springfield Hospital Center,N/A,N/A,4,0,N/A,N/A,333
5/6/2020,Carroll,Westminster Healthcare Center,6,75,N/A,N/A,N/A,N/A,334
5/6/2020,Cecil,Calvert Manor Healthcare Center,15,61,N/A,N/A,N/A,N/A,335
5/6/2020,Charles,Charles County Detention Center,N/A,N/A,3,1,N/A,N/A,336
5/6/2020,Charles,Genesis La Plata,4,0,N/A,N/A,N/A,N/A,337
5/6/2020,Charles,Genesis Waldorf,2,0,N/A,N/A,N/A,N/A,338
5/6/2020,Charles,Restore Health Rehabilitation Center,2,7,N/A,N/A,N/A,N/A,339
5/6/2020,Charles,Sagepoint Nursing & Rehabilitation,32,97,N/A,N/A,N/A,N/A,340
5/6/2020,Charles,The Charleston Senior Community,9,32,N/A,N/A,N/A,N/A,341
5/6/2020,Dorchester,Chesapeake Woods Center,1,0,N/A,N/A,N/A,N/A,342
5/6/2020,Frederick,Ballenger Creek - Genesis Healthcare,40,88,N/A,N/A,N/A,N/A,343
5/6/2020,Frederick,Citizens Care and Rehabilitation Center of Frederick,8,11,N/A,N/A,N/A,N/A,344
5/6/2020,Frederick,Country Meadows of Frederick,19,24,N/A,N/A,N/A,N/A,345
5/6/2020,Frederick,Edenton Retirement Community,2,0,N/A,N/A,N/A,N/A,346
5/6/2020,Frederick,Frederick Health and Rehabilitation Center,20,27,N/A,N/A,N/A,N/A,347
5/6/2020,Frederick,Glade Valley Center - Genesis Healthcare,2,1,N/A,N/A,N/A,N/A,348
5/6/2020,Frederick,HeartFields Assisted Living at Frederick,18,9,N/A,N/A,N/A,N/A,349
5/6/2020,Frederick,Homewood at Frederick,26,22,N/A,N/A,N/A,N/A,350
5/6/2020,Frederick,Northampton Manor Nursing and Rehabilitation Center,18,50,N/A,N/A,N/A,N/A,351
5/6/2020,Frederick,Somerford House Frederick,5,1,N/A,N/A,N/A,N/A,352
5/6/2020,Frederick,Spring Arbor Senior Living,1,0,N/A,N/A,N/A,N/A,353
5/6/2020,Frederick,Tranquility of Frederickstowne,2,3,N/A,N/A,N/A,N/A,354
5/6/2020,Frederick,Victor Cullen Center/Savage Mountain Youth Center,N/A,N/A,0,N/A,N/A,0,355
5/6/2020,Garrett,Backbone Mountain Youth Center,N/A,N/A,0,N/A,N/A,0,356
5/6/2020,Garrett,Meadow Mountain Youth Center*,N/A,N/A,0,N/A,N/A,0,357
5/6/2020,Harford,Bel Air Health and Rehabilitation Center,16,45,N/A,N/A,N/A,N/A,358
5/6/2020,Harford,Forest Hill Health & Rehab Center,26,89,N/A,N/A,N/A,N/A,359
5/6/2020,Howard,Ellicott City Healthcare Center,31,104,N/A,N/A,N/A,N/A,360
5/6/2020,Howard,Howard County Detention Center,N/A,N/A,1,0,N/A,N/A,361
5/6/2020,Howard,Lorien Columbia,3,6,N/A,N/A,N/A,N/A,362
5/6/2020,Howard,Lorien Elkridge,1,13,N/A,N/A,N/A,N/A,363
5/6/2020,Howard,Residences at Vantage Point,3,3,N/A,N/A,N/A,N/A,364
5/6/2020,Howard,Sunrise of Columbia,5,11,N/A,N/A,N/A,N/A,365
5/6/2020,Kent,Autumn Lake Kent County,13,55,N/A,N/A,N/A,N/A,366
5/6/2020,Kent,The Resort at Chester Manor,1,5,N/A,N/A,N/A,N/A,367
5/6/2020,Montgomery,Alfred D. Noyes Children's Center,N/A,N/A,2,N/A,N/A,0,368
5/6/2020,Montgomery,Alfred House,2,8,N/A,N/A,N/A,N/A,369
5/6/2020,Montgomery,Althea Woodland,5,9,N/A,N/A,N/A,N/A,370
5/6/2020,Montgomery,Arcola Health and Rehabilitation Center,15,12,N/A,N/A,N/A,N/A,371
5/6/2020,Montgomery,Arden Courts of Kensington,0,2,N/A,N/A,N/A,N/A,372
5/6/2020,Montgomery,Arden Courts of Potomac,6,18,N/A,N/A,N/A,N/A,373
5/6/2020,Montgomery,Arden Courts of Silver Spring,0,1,N/A,N/A,N/A,N/A,374
5/6/2020,Montgomery,Aspenwood Senior Living Community,0,2,N/A,N/A,N/A,N/A,375
5/6/2020,Montgomery,Autumn Lake Healthcare at Oakview,4,51,N/A,N/A,N/A,N/A,376
5/6/2020,Montgomery,Bedford Court,7,2,N/A,N/A,N/A,N/A,377
5/6/2020,Montgomery,Bel Pre Healthcare Center,10,52,N/A,N/A,N/A,N/A,378
5/6/2020,Montgomery,Bethesda Health and Rehab,20,28,N/A,N/A,N/A,N/A,379
5/6/2020,Montgomery,Brighton Gardens at Frienship Heights,0,1,N/A,N/A,N/A,N/A,380
5/6/2020,Montgomery,Brighton Gardens of Tuckerman Lane,16,24,N/A,N/A,N/A,N/A,381
5/6/2020,Montgomery,Brightview Fallsgrove-Rockville Senior Assisted Living and Memory Care,6,2,N/A,N/A,N/A,N/A,382
5/6/2020,Montgomery,Brightview West End - Brightview Senior Living,5,3,N/A,N/A,N/A,N/A,383
5/6/2020,Montgomery,Brookdale Potomac Assisted Living,0,11,N/A,N/A,N/A,N/A,384
5/6/2020,Montgomery,Brooke Grove Retirement Community,21,53,N/A,N/A,N/A,N/A,385
5/6/2020,Montgomery,"Cadia Healthcare of Springbrook, MD",26,16,N/A,N/A,N/A,N/A,386
5/6/2020,Montgomery,Cadia Healthcare Wheaton,5,19,N/A,N/A,N/A,N/A,387
5/6/2020,Montgomery,Carriage Hill,14,12,N/A,N/A,N/A,N/A,388
5/6/2020,Montgomery,Cedar Creek Memory Care Homes- Maple Ridge,9,9,N/A,N/A,N/A,N/A,389
5/6/2020,Montgomery,Collingswood Rehabilitation and Healthcare Center,17,51,N/A,N/A,N/A,N/A,390
5/6/2020,Montgomery,Fairland Center,4,1,N/A,N/A,N/A,N/A,391
5/6/2020,Montgomery,Fox Chase Rehabilitation & Nursing,3,9,N/A,N/A,N/A,N/A,392
5/6/2020,Montgomery,Friends House Retirement Community,13,18,N/A,N/A,N/A,N/A,393
5/6/2020,Montgomery,Hebrew Home of Greater Washington,20,19,N/A,N/A,N/A,N/A,394
5/6/2020,Montgomery,Ingleside at King Farm,2,1,N/A,N/A,N/A,N/A,395
5/6/2020,Montgomery,Kensington Healthcare Center,8,58,N/A,N/A,N/A,N/A,396
5/6/2020,Montgomery,Kensington Park,19,25,N/A,N/A,N/A,N/A,397
5/6/2020,Montgomery,Layhill Center,3,10,N/A,N/A,N/A,N/A,398
5/6/2020,Montgomery,Manor Care Silver Spring,22,59,N/A,N/A,N/A,N/A,399
5/6/2020,Montgomery,Manor Care Wheaton,17,51,N/A,N/A,N/A,N/A,400
5/6/2020,Montgomery,ManorCare Health Services - Chevy Chase,4,12,N/A,N/A,N/A,N/A,401
5/6/2020,Montgomery,ManorCare Health Services Bethesda,10,12,N/A,N/A,N/A,N/A,402
5/6/2020,Montgomery,ManorCare Potomac,11,24,N/A,N/A,N/A,N/A,403
5/6/2020,Montgomery,"Maplewood of Park Place, Sunrise Senior Living",3,2,N/A,N/A,N/A,N/A,404
5/6/2020,Montgomery,Montgomery Village Health Care Center,16,46,N/A,N/A,N/A,N/A,405
5/6/2020,Montgomery,Oak Manor Center,6,10,N/A,N/A,N/A,N/A,406
5/6/2020,Montgomery,Olney Memory Care,3,3,N/A,N/A,N/A,N/A,407
5/6/2020,Montgomery,Potomac Valley Rehabilitation and Healthcare Center,19,33,N/A,N/A,N/A,N/A,408
5/6/2020,Montgomery,Regency Care of Silver Spring,31,53,N/A,N/A,N/A,N/A,409
5/6/2020,Montgomery,Rockville Nursing Home,16,37,N/A,N/A,N/A,N/A,410
5/6/2020,Montgomery,Seabury at Springvale Terrace,1,1,N/A,N/A,N/A,N/A,411
5/6/2020,Montgomery,Shady Grove Center for Nursing & Rehabilitation,11,10,N/A,N/A,N/A,N/A,412
5/6/2020,Montgomery,Sligo Creek Center - Genesis Healthcare,3,5,N/A,N/A,N/A,N/A,413
5/6/2020,Montgomery,Sunrise at Montgomery Village,1,5,N/A,N/A,N/A,N/A,414
5/6/2020,Montgomery,Sunrise of Chevy Chase,5,5,N/A,N/A,N/A,N/A,415
5/6/2020,Montgomery,Sunrise of Rockville,4,0,N/A,N/A,N/A,N/A,416
5/6/2020,Montgomery,Sunrise Senior Living in Bethesda,9,6,N/A,N/A,N/A,N/A,417
5/6/2020,Montgomery,Sunrise Senior Living - Sunrise at Fox Hill,7,5,N/A,N/A,N/A,N/A,418
5/6/2020,Montgomery,The Landing of Silver Spring,11,13,N/A,N/A,N/A,N/A,419
5/6/2020,Montgomery,The Manor,1,1,N/A,N/A,N/A,N/A,420
5/6/2020,Montgomery,Tribute at Black Hill,7,4,N/A,N/A,N/A,N/A,421
5/6/2020,Montgomery,Village at Rockville,12,24,N/A,N/A,N/A,N/A,422
5/6/2020,Montgomery,Wilson Health Care Center at Asbury Methodist Village,21,50,N/A,N/A,N/A,N/A,423
5/6/2020,Montgomery,Wintergrowth Assisted Living,1,2,N/A,N/A,N/A,N/A,424
5/6/2020,Prince George's,Adelphi Nursing and Rehabilitation,9,28,N/A,N/A,N/A,N/A,425
5/6/2020,Prince George's,Arbor Terrace Senior Living,0,1,N/A,N/A,N/A,N/A,426
5/6/2020,Prince George's,Autumn Lake Healthcare at Cherry Lane,14,19,N/A,N/A,N/A,N/A,427
5/6/2020,Prince George's,Bradford Oaks Center,7,0,N/A,N/A,N/A,N/A,428
5/6/2020,Prince George's,Brookdale Woodward Estates,4,5,N/A,N/A,N/A,N/A,429
5/6/2020,Prince George's,Cadia Hyattsville,15,13,N/A,N/A,N/A,N/A,430
5/6/2020,Prince George's,Cheltenham Youth Detention Center,N/A,N/A,0,N/A,N/A,0,431
5/6/2020,Prince George's,Clinton Nursing and Rehabilitation Center,33,136,N/A,N/A,N/A,N/A,432
5/6/2020,Prince George's,Collington,5,11,N/A,N/A,N/A,N/A,433
5/6/2020,Prince George's,Crescent Cities,4,17,N/A,N/A,N/A,N/A,434
5/6/2020,Prince George's,Doctors Community Rehabilitation and Patient Care Center,3,22,N/A,N/A,N/A,N/A,435
5/6/2020,Prince George's,Forestville Healthcare Center,9,20,N/A,N/A,N/A,N/A,436
5/6/2020,Prince George's,Fort Washington Health Center,7,10,N/A,N/A,N/A,N/A,437
5/6/2020,Prince George's,Future Care Capitol Region,16,23,N/A,N/A,N/A,N/A,438
5/6/2020,Prince George's,Future Care Pineview,14,5,N/A,N/A,N/A,N/A,439
5/6/2020,Prince George's,"Hillhaven Assisted Living, Nursing and Rehabilitation Center",13,32,N/A,N/A,N/A,N/A,440
5/6/2020,Prince George's,Hyattsville Health and Rehab,9,30,N/A,N/A,N/A,N/A,441
5/6/2020,Prince George's,Largo Nursing & Rehabilitation Center,6,8,N/A,N/A,N/A,N/A,442
5/6/2020,Prince George's,Larkin Chase Center,13,75,N/A,N/A,N/A,N/A,443
5/6/2020,Prince George's,Patuxent River Health and Rehabilitation Center,14,8,N/A,N/A,N/A,N/A,444
5/6/2020,Prince George's,Prince George's County Jail,N/A,N/A,31,19,N/A,N/A,445
5/6/2020,Prince George's,Riderwood - Arbor Ridge,44,61,N/A,N/A,N/A,N/A,446
5/6/2020,Prince George's,Sacred Heart Home Inc,3,1,N/A,N/A,N/A,N/A,447
5/6/2020,Prince George's,The W Assisted LIving,0,2,N/A,N/A,N/A,N/A,448
5/6/2020,Prince George's,Villa Rosa Nursing & Rehabilitation Center,3,15,N/A,N/A,N/A,N/A,449
5/6/2020,Queen Anne's,Corsica Hills Center,4,0,N/A,N/A,N/A,N/A,450
5/6/2020,Queen Anne's,Eastern Pre-Release Unit,N/A,N/A,0,N/A,0,N/A,451
5/6/2020,Somerset,Eastern Correctional Institution,N/A,N/A,1,N/A,0,N/A,452
5/6/2020,Somerset,Eastern Correctional Institution Annex,N/A,N/A,0,N/A,0,N/A,453
5/6/2020,St. Mary's,Charlotte Hall Veterans Home,6,15,N/A,N/A,N/A,N/A,454
5/6/2020,St. Mary's,Chesapeake Shores,2,0,N/A,N/A,N/A,N/A,455
5/6/2020,St. Mary's,Southern Maryland Pre-Release Unit,N/A,N/A,0,N/A,0,N/A,456
5/6/2020,Washington,Homewood Hilltop,1,4,N/A,N/A,N/A,N/A,457
5/6/2020,Washington,Maryland Correctional Institution - Hagerstown,N/A,N/A,0,N/A,0,N/A,458
5/6/2020,Washington,Maryland Correctional Training Center,N/A,N/A,2,N/A,0,N/A,459
5/6/2020,Washington,Roxbury Correctional Institution,N/A,N/A,0,N/A,1,N/A,460
5/6/2020,Washington,Sterling Care South Mountain,4,7,N/A,N/A,N/A,N/A,461
5/6/2020,Washington,Western Maryland Children's Center,N/A,N/A,0,N/A,N/A,0,462
5/6/2020,Wicomico,Anchorage Healthcare Center,0,10,N/A,N/A,N/A,N/A,463
5/6/2020,Wicomico,Lower Eastern Shore Children's Center/J. DeWeese Carter Center,N/A,N/A,1,N/A,N/A,0,464
5/6/2020,Wicomico,Salisbury Rehabilitation and Nursing Center,4,21,N/A,N/A,N/A,N/A,465
5/6/2020,Worcester,Autumn Lake Hartley Hall,1,0,N/A,N/A,N/A,N/A,466
5/6/2020,Worcester,Berlin Nursing and Rehabilitation Center,4,9,N/A,N/A,N/A,N/A,467
5/6/2020,Worcester,Gull Creek,1,0,N/A,N/A,N/A,N/A,468
5/13/2020,Allegany,Cumberland Healthcare Center,30,78,N/A,N/A,N/A,N/A,469
5/13/2020,Allegany,Moran Manor Nursing and Rehabilitation Center,0,1,N/A,N/A,N/A,N/A,470
5/13/2020,Allegany,North Branch Correctional Institution,N/A,N/A,1,N/A,0,N/A,471
5/13/2020,Allegany,Sterling Care Frostburg Village,1,2,N/A,N/A,N/A,N/A,472
5/13/2020,Allegany,Western Correctional Institution,N/A,N/A,2,N/A,0,N/A,473
5/13/2020,Anne Arundel,Arbor Terrace Waugh Chapel,2,3,N/A,N/A,N/A,N/A,474
5/13/2020,Anne Arundel,Atria Manresa,3,12,N/A,N/A,N/A,N/A,475
5/13/2020,Anne Arundel,Crofton Care and Rehabilitation,7,43,N/A,N/A,N/A,N/A,476
5/13/2020,Anne Arundel,Dorsey Run Correctional Facility,N/A,N/A,29,N/A,12,N/A,477
5/13/2020,Anne Arundel,Fairfield Nursing and Rehabilitation Center,25,33,N/A,N/A,N/A,N/A,478
5/13/2020,Anne Arundel,FutureCare Chesapeake,49,77,N/A,N/A,N/A,N/A,479
5/13/2020,Anne Arundel,Genesis Severna Park,2,7,N/A,N/A,N/A,N/A,480
5/13/2020,Anne Arundel,Genesis Waugh Chapel,16,46,N/A,N/A,N/A,N/A,481
5/13/2020,Anne Arundel,Heritage Harbour Health and Rehabilitation Center,7,27,N/A,N/A,N/A,N/A,482
5/13/2020,Anne Arundel,Inspiration Memory Care Linthicum,7,22,N/A,N/A,N/A,N/A,483
5/13/2020,Anne Arundel,"Jessup Correctional Institution
*Including Baltimore Pretrial Complex (BPFJ)",N/A,N/A,45,N/A,19,N/A,484
5/13/2020,Anne Arundel,Marley Neck Health and Rehabilitation Center,8,12,N/A,N/A,N/A,N/A,485
5/13/2020,Anne Arundel,Maryland Correctional Institution - Jessup,N/A,N/A,16,N/A,6,N/A,486
5/13/2020,Anne Arundel,Maryland Correctional Institution for Women,N/A,N/A,34,N/A,15,N/A,487
5/13/2020,Anne Arundel,North Arundel Health and Rehabilitation Center,28,46,N/A,N/A,N/A,N/A,488
5/13/2020,Anne Arundel,"Patuxent Institution
*Including Correctional Mental Health Center-Jessup",N/A,N/A,31,N/A,19,N/A,489
5/13/2020,Anne Arundel,Regency Park Assisted Living,0,1,N/A,N/A,N/A,N/A,490
5/13/2020,Anne Arundel,South River Healthcare Center,12,58,N/A,N/A,N/A,N/A,491
5/13/2020,Anne Arundel,Spa Creek Center,7,7,N/A,N/A,N/A,N/A,492
5/13/2020,Baltimore City,Arlington West Care Center,1,0,N/A,N/A,N/A,N/A,493
5/13/2020,Baltimore City,Autumn Lake Healthcare at Bridgepark,14,56,N/A,N/A,N/A,N/A,494
5/13/2020,Baltimore City,Baltimore Central Booking and Intake Center,N/A,N/A,13,N/A,2,N/A,495
5/13/2020,Baltimore City,Baltimore City Correctional Center,N/A,N/A,2,N/A,0,N/A,496
5/13/2020,Baltimore City,Baltimore City Juvenile Justice Center,N/A,N/A,5,N/A,N/A,0,497
5/13/2020,Baltimore City,Blue Point Healthcare Center,0,1,N/A,N/A,N/A,N/A,498
5/13/2020,Baltimore City,Chesapeake Detention Facility (Formerly MCAC),N/A,N/A,4,N/A,0,N/A,499
5/13/2020,Baltimore City,Fayette Health and Rehabilitation Center,0,1,N/A,N/A,N/A,N/A,500
5/13/2020,Baltimore City,Future Care Charles Village,15,75,N/A,N/A,N/A,N/A,501
5/13/2020,Baltimore City,Future Care Irvington,17,39,N/A,N/A,N/A,N/A,502
5/13/2020,Baltimore City,FutureCare Canton Harbor,8,11,N/A,N/A,N/A,N/A,503
5/13/2020,Baltimore City,FutureCare Cold Spring,15,36,N/A,N/A,N/A,N/A,504
5/13/2020,Baltimore City,FutureCare Good Samaritan,10,26,N/A,N/A,N/A,N/A,505
5/13/2020,Baltimore City,FutureCare Homewood,3,4,N/A,N/A,N/A,N/A,506
5/13/2020,Baltimore City,FutureCare Lochearn,75,156,N/A,N/A,N/A,N/A,507
5/13/2020,Baltimore City,FutureCare Sandtown,16,29,N/A,N/A,N/A,N/A,508
5/13/2020,Baltimore City,Levindale Hebrew Geriatric Center and Hospital,37,55,N/A,N/A,N/A,N/A,509
5/13/2020,Baltimore City,Manor Care Roland Park,3,2,N/A,N/A,N/A,N/A,510
5/13/2020,Baltimore City,"Maryland Reception, Diagnostic and Classification Center",N/A,N/A,27,N/A,3,N/A,511
5/13/2020,Baltimore City,Metropolitan Transition Center,N/A,N/A,38,N/A,2,N/A,512
5/13/2020,Baltimore City,Nursing and Rehab Center at Stadium Place,4,4,N/A,N/A,N/A,N/A,513
5/13/2020,Baltimore City,Peak Health Caton Manor,6,37,N/A,N/A,N/A,N/A,514
5/13/2020,Baltimore City,Post Acute Care Center,14,48,N/A,N/A,N/A,N/A,515
5/13/2020,Baltimore City,Roland Park Place,1,1,N/A,N/A,N/A,N/A,516
5/13/2020,Baltimore City,Springwell Senior Living,5,4,N/A,N/A,N/A,N/A,517
5/13/2020,Baltimore City,The Neighborhoods at St. Elizabeth Rehabilitation & Nursing Center,17,16,N/A,N/A,N/A,N/A,518
5/13/2020,Baltimore City,Westgate Hills Rehabilitation & Healthcare Center,11,55,N/A,N/A,N/A,N/A,519
5/13/2020,Baltimore City,Youth Detention Center,N/A,N/A,2,N/A,0,N/A,520
5/13/2020,Baltimore County,Arden Courts of Towson,4,27,N/A,N/A,N/A,N/A,521
5/13/2020,Baltimore County,Atrium Village,6,16,N/A,N/A,N/A,N/A,522
5/13/2020,Baltimore County,Autumn Lake Healthcare at Riverview,1,2,N/A,N/A,N/A,N/A,523
5/13/2020,Baltimore County,Autumn Lake Pikesville,9,60,N/A,N/A,N/A,N/A,524
5/13/2020,Baltimore County,Baltimore County Detention Center,N/A,N/A,3,6,N/A,N/A,525
5/13/2020,Baltimore County,Blakehurst Lifecare Community,1,0,N/A,N/A,N/A,N/A,526
5/13/2020,Baltimore County,Chapel Hill Nursing and Rehabilitation Center,1,3,N/A,N/A,N/A,N/A,527
5/13/2020,Baltimore County,"Charles H. Hickey, Jr. School",N/A,N/A,2,N/A,N/A,0,528
5/13/2020,Baltimore County,Charlestown Senior Living Community,21,21,N/A,N/A,N/A,N/A,529
5/13/2020,Baltimore County,Chesapeake Treatment Center,2,2,N/A,N/A,N/A,N/A,530
5/13/2020,Baltimore County,Edenwald,3,1,N/A,N/A,N/A,N/A,531
5/13/2020,Baltimore County,Forest Haven Nursing & Rehab Center,25,64,N/A,N/A,N/A,N/A,532
5/13/2020,Baltimore County,Frederick Villa Nursing and Rehabilitation Center,36,76,N/A,N/A,N/A,N/A,533
5/13/2020,Baltimore County,Futurecare Cherrywood,42,75,N/A,N/A,N/A,N/A,534
5/13/2020,Baltimore County,FutureCare Courtland,6,26,N/A,N/A,N/A,N/A,535
5/13/2020,Baltimore County,FutureCare Northpoint,9,19,N/A,N/A,N/A,N/A,536
5/13/2020,Baltimore County,FutureCare Old Court,37,74,N/A,N/A,N/A,N/A,537
5/13/2020,Baltimore County,Genesis Catonsville Commons,10,39,N/A,N/A,N/A,N/A,538
5/13/2020,Baltimore County,Genesis Cromwell Center,7,39,N/A,N/A,N/A,N/A,539
5/13/2020,Baltimore County,Genesis Eldercare Franklin Woods,2,0,N/A,N/A,N/A,N/A,540
5/13/2020,Baltimore County,Genesis Loch Raven,20,69,N/A,N/A,N/A,N/A,541
5/13/2020,Baltimore County,Genesis Multi-Medical Center,3,0,N/A,N/A,N/A,N/A,542
5/13/2020,Baltimore County,Glen Meadows Retirement Community,1,0,N/A,N/A,N/A,N/A,543
5/13/2020,Baltimore County,Heritage Center Genesis Eldercare,7,36,N/A,N/A,N/A,N/A,544
5/13/2020,Baltimore County,King David Nursing and Rehabilitation Center,4,2,N/A,N/A,N/A,N/A,545
5/13/2020,Baltimore County,Lorien Mays Chapel,1,0,N/A,N/A,N/A,N/A,546
5/13/2020,Baltimore County,Ma Maison Assisted Living,0,3,N/A,N/A,N/A,N/A,547
5/13/2020,Baltimore County,ManorCare Health Services - Ruxton,0,1,N/A,N/A,N/A,N/A,548
5/13/2020,Baltimore County,ManorCare Health Services- Rossville,12,60,N/A,N/A,N/A,N/A,549
5/13/2020,Baltimore County,ManorCare Health Services- Towson,6,4,N/A,N/A,N/A,N/A,550
